number,incident_state,active,contact_type,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,location,caller_id,reassignment_count,reopen_count,sys_mod_count,made_sla,sla_status,resolved_by,resolved_at,closed_code,closed_at,opened_at,resolution_hours,resolution_days,closure_hours,closure_days,was_reopened,high_reassignment,opened_date,opened_year,opened_month,opened_month_name,opened_day_name,priority_level,priority_label,impact_level,urgency_level,opened_month_year,sla_breached,reopened_flag,high_reassignment_flag,resolution_bucket
INC0000045,Closed,False,Phone,Category 55,Subcategory 170,Symptom 72,2 - Medium,2 - Medium,3 - Moderate,Group 56,Unknown,Location 143,Caller 2403,0,0,4,True,Met SLA,Resolved by 149,2016-02-29 11:29:00,code 5,2016-03-05 12:00:00,2016-02-29 01:16:00,10.216666666666669,0.4256944444444444,130.73333333333332,5.447222222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000047,Closed,False,Phone,Category 40,Subcategory 215,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 89,Location 165,Caller 2403,1,0,8,True,Met SLA,Resolved by 81,2016-03-01 09:52:00,code 5,2016-03-06 10:00:00,2016-02-29 04:40:00,29.2,1.2166666666666666,149.33333333333334,6.222222222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000057,Closed,False,Phone,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,Location 204,Caller 4416,0,0,6,True,Met SLA,Resolved by 5,2016-03-01 02:55:00,code 10,2016-03-06 03:00:00,2016-02-29 06:10:00,20.75,0.8645833333333334,140.83333333333334,5.868055555555556,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000060,Closed,False,Phone,Category 9,Subcategory 97,Symptom 450,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,Location 204,Caller 4491,0,0,3,True,Met SLA,Resolved by 113,2016-03-02 12:06:00,code 3,2016-03-07 13:00:00,2016-02-29 06:38:00,53.46666666666667,2.227777777777778,174.36666666666667,7.265277777777778,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000062,Closed,False,Phone,Category 53,Subcategory 168,Symptom 232,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 93,Caller 3765,1,0,7,False,Breached SLA,Resolved by 62,2016-02-29 15:51:00,code 7,2016-03-05 16:00:00,2016-02-29 06:58:00,8.883333333333333,0.3701388888888888,129.03333333333333,5.376388888888889,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,4-24 Hours
INC0000063,Closed,False,Phone,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 93,Caller 2146,1,0,7,True,Met SLA,Resolved by 62,2016-02-29 16:01:00,code 7,2016-03-05 17:00:00,2016-02-29 07:08:00,8.883333333333333,0.3701388888888888,129.86666666666667,5.411111111111111,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000064,Closed,False,Phone,Category 53,Subcategory 168,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,Location 143,Caller 2838,1,0,8,True,Met SLA,Resolved by 71,2016-03-03 16:00:00,code 6,2016-03-08 17:00:00,2016-02-29 07:10:00,80.83333333333333,3.368055555555556,201.83333333333331,8.409722222222223,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,3-7 Days
INC0000065,Closed,False,Phone,Category 44,Subcategory 229,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,Location 108,Caller 5323,6,0,13,True,Met SLA,Resolved by 197,2016-03-02 15:21:00,code 1,2016-03-07 16:00:00,2016-02-29 07:38:00,55.71666666666667,2.321527777777778,176.36666666666667,7.348611111111111,False,True,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,1,1-3 Days
INC0000066,Closed,False,Phone,Category 55,Subcategory 185,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 161,Caller 3796,1,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:37:00,code 5,2016-03-07 15:00:00,2016-02-29 08:03:00,54.56666666666667,2.2736111111111112,174.95,7.289583333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000067,Closed,False,Phone,Category 9,Subcategory 110,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,Location 143,Caller 442,1,0,10,True,Met SLA,Resolved by 215,2016-03-02 11:11:00,code 1,2016-03-07 12:00:00,2016-02-29 08:03:00,51.13333333333333,2.1305555555555555,171.95,7.164583333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
