number,opened_at,sys_created_at,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,assigned_to,closed_code,resolved_by,resolved_at,closed_at,resolution_hours,closure_hours,resolution_days,closure_days,opened_date,opened_year,opened_month,opened_month_name,opened_day_name,sla_status,was_reopened,high_reassignment
INC0000045,2016-02-29 01:16:00,2016-02-29 01:23:00,Caller 2403,Opened by  8,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,,2 - Medium,2 - Medium,3 - Moderate,Group 56,True,False,Do Not Notify,,,,,Closed,False,0,0,4,True,,code 5,Resolved by 149,2016-02-29 11:29:00,2016-03-05 12:00:00,10.216666666666667,130.73333333333332,0.42569444444444443,5.447222222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000047,2016-02-29 04:40:00,2016-02-29 04:57:00,Caller 2403,Opened by  397,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,8,True,Resolver 89,code 5,Resolved by 81,2016-03-01 09:52:00,2016-03-06 10:00:00,29.2,149.33333333333334,1.2166666666666666,6.222222222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000057,2016-02-29 06:10:00,,Caller 4416,Opened by  8,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,6,True,Resolver 6,code 10,Resolved by 5,2016-03-01 02:55:00,2016-03-06 03:00:00,20.75,140.83333333333334,0.8645833333333334,5.868055555555556,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000060,2016-02-29 06:38:00,2016-02-29 06:42:00,Caller 4491,Opened by  180,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,,2 - Medium,2 - Medium,3 - Moderate,Group 25,True,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 125,code 3,Resolved by 113,2016-03-02 12:06:00,2016-03-07 13:00:00,53.46666666666667,174.36666666666667,2.227777777777778,7.265277777777778,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000062,2016-02-29 06:58:00,2016-02-29 07:26:00,Caller 3765,Opened by  180,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,7,False,,code 7,Resolved by 62,2016-02-29 15:51:00,2016-03-05 16:00:00,8.883333333333333,129.03333333333333,0.37013888888888885,5.376388888888889,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000063,2016-02-29 07:08:00,2016-02-29 07:17:00,Caller 2146,Opened by  180,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,7,True,,code 7,Resolved by 62,2016-02-29 16:01:00,2016-03-05 17:00:00,8.883333333333333,129.86666666666667,0.37013888888888885,5.411111111111111,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000064,2016-02-29 07:10:00,2016-02-29 07:14:00,Caller 2838,Opened by  131,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,8,True,Resolver 78,code 6,Resolved by 71,2016-03-03 16:00:00,2016-03-08 17:00:00,80.83333333333333,201.83333333333334,3.3680555555555554,8.409722222222223,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000065,2016-02-29 07:38:00,2016-02-29 07:46:00,Caller 5323,Opened by  131,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,,2 - Medium,2 - Medium,3 - Moderate,Group 5,True,False,Do Not Notify,,,,,Closed,False,6,0,13,True,Resolver 216,code 1,Resolved by 197,2016-03-02 15:21:00,2016-03-07 16:00:00,55.71666666666667,176.36666666666667,2.321527777777778,7.348611111111111,2016-02-29,2016,2,February,Monday,Met SLA,False,True
INC0000066,2016-02-29 08:03:00,2016-02-29 08:18:00,Caller 3796,Opened by  24,Phone,Location 161,Category 55,Subcategory 185,,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,3,True,,code 5,Resolved by 208,2016-03-02 14:37:00,2016-03-07 15:00:00,54.56666666666667,174.95,2.2736111111111112,7.289583333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000067,2016-02-29 08:03:00,2016-02-29 08:05:00,Caller 442,Opened by  180,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,10,True,Resolver 236,code 1,Resolved by 215,2016-03-02 11:11:00,2016-03-07 12:00:00,51.13333333333333,171.95,2.1305555555555555,7.164583333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000070,2016-02-29 08:11:00,2016-02-29 08:38:00,Caller 3757,Opened by  131,Phone,Location 46,Category 9,Subcategory 164,Symptom 592,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,9,False,Resolver 31,code 11,Resolved by 30,2016-03-08 09:55:00,2016-03-24 18:40:00,193.73333333333332,586.4833333333333,8.072222222222221,24.436805555555555,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000071,2016-02-29 08:12:00,2016-02-29 08:17:00,Caller 271,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 24,True,False,Do Not Notify,,,,,Closed,False,0,0,7,True,Resolver 249,code 5,Resolved by 227,2016-03-01 10:38:00,2016-03-06 11:00:00,26.433333333333334,146.8,1.101388888888889,6.116666666666667,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000073,2016-02-29 08:22:00,2016-02-29 08:30:00,Caller 2519,Opened by  40,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,6,True,,code 11,Resolved by 208,2016-03-01 15:37:00,2016-03-06 16:00:00,31.25,151.63333333333333,1.3020833333333333,6.3180555555555555,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000074,2016-02-29 08:23:00,,Caller 527,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,,2 - Medium,2 - Medium,3 - Moderate,Group 66,True,False,Do Not Notify,,CHG0000404,,,Closed,False,0,0,19,False,Resolver 193,code 6,Resolved by 158,2016-04-11 14:39:00,2016-04-16 15:07:00,1014.2666666666667,1134.7333333333333,42.26111111111111,47.28055555555556,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
